"","text"
"564","well packaged and received about two days later  worth the buy "
"565","received in good condition fast delivery"
"566","fast and good i love it i will buy it again and again and again"
"567","bands are of good quality although packaging was bent and there is a very strong plastic odor"
"568","i only used it once and so far the quality is good i loved all the colours too"
"569","item came quickly and is as shown on photo quality is good too"
"570","good product comes with a pouch as well for you to store the resistance bands in ‚"
"571","haven‚t used them but they look nice and   sealed up nicely as well"
"572","received items as described worth the money"
"573","fast shipping happy with the purchase the quality is good sturdy packaging"
"574","a little big based on seller advice but ok"
"575","nd purchase good quality"
"576","item received with much thanks  fast delivery  and good item  happy with the purchase  thanks to the seller "
"577","good as described and fits well would recommend"
"578","the pad doesnt feel like gel material"
"579","received the item fast and in good condition as advertised"
"580","received in good condition and fast delivery yet to try"
"581","fast delivery and good qualitygood fit value for money"
"582","looks hightech but the padding is not actually very effective"
"583","base on size chart quite accurate n is very comfortable wearing it‚"
"584","received item as ordered"
"585","not yet to try item yet seems promising "
"586","great product buying a couple more now"
"587","describe as the same in specification good product  fits well "
"588","good product"
"589","shld be ok have yet to try"
"590","accurate product good packaging "
"591","very comfortable and fits well  highly recommended"
"592","item received as per picture soft material yet to try"
"593","item received promptly and in good order  selected size based on sizing chart and it fits"
"594","the quality of the elastic bands are poor and sounded like thread ripping when i stretched to put them on first time don‚t think the elastic fit will last long the pads are ok a pity "
"595","delivery take almost two weeks good quality yet to try it out"
"596","well received in hd condition"
"597","size fit well and comfortable received in good condition"
"598","great quality super quick shipping and is really great for exercising‚"
"599","item arrived within  days excellent condition"
"600","solid and good quality quick delivery and efficient thanks for the products"
"601","received extremely fast took only  days very good quality would recommend"
"602","delivery was fast item is properly wrapped and came in good condition"
"603","nice colours delivery took some time but it looks nice can‚t wait to try it"
"604","very good quality in good condition worth it with different levels"
"605","received as described love the colours supplied by this seller  acceptable shipping time due to covid"
"606","nice good happy with it just take a while to ship out"
"607","good buy there is even a pouch to store the resistance bands‚"
"608","received in good condition nice colours but yet to try it out  "
"609","comes in air tight packaging material is soft to touch but protective gel may need time to get use to it  "
"610","item is of good quality however personally thought it could be even more form fitting am worried it would sag after a while like wearing soiled diapers lol"
"611","item received in good condition delivery time acceptable quality average"
"612","item received as described have not tested it yet good delivery "
"613","have not tried but think it looks comfy enough hope to use it soon the price is quite good too"
"614","item reached abt  days but it was worth the wait reasonable delivery time the quality from this brand and seller is super good"
"615","received the item quite fast despite pandemic situation item in good condition just a bit shorter than picture else all are fine"
"616","very good padding satisfied with buy"
"617","item recieve as its"
"618","quick delivery product arrived as described a satisfactory purchase"
"619","nd time ordering fast delivery during covid time seller response fast n polite too most comfortable cycling wear i ever bought thank you"
"620","the delivery only took only  week considering that it was shipped from china very happy with the product fits well good value for money "
"621","fast delivery seem like good quality good job thank you will definitely buy again "
"622","not yet tested looks good but not sure if its feels good hahaha "
"623","fast delivery haven‚t tried out  hope is good  looks abit bigger then i thought "
"624","came faster than expected cant wait to try it out "
"625","received in good condition"
"626","good quality material well packed and fast shipping thanks seller"
"627","haven‚t try yet"
"628","same as seller picture well packed with zip bag"
"629","very good quality "
"630","good quality delivered fast satisfied with product "
"631","received in good condition "
"632","fast delivery quality not too bad given the price can consider "
"633","not too long waiting but safely delivered"
"634","well received and packed adequately padding is thick and good "
"635","looks big received after  weeks havent tried it out hope it works good"
"636","will order xxl the next timd thank you for the expeditious response "
"637","comfortable wear with accurate sizing will consider repurchasing "
"638","havent try yet but not as elastic as it seems cushion is fairly thick "
"639","quite comfy and worth the price but runs a bit small will most probably remove the bra padding and wear for home workouts "
"640","u get what u paid "
"641","items received in good condition and delivery is faster than expected material is soft worth the buy will buy from seller again "
"642","comfy with push up "
"643","the items came very well packaged in a reusable zip lock bag i bought sm but   kind of loose on me not advisable if you‚re closer to an s but material and overall feel is really good for the price "
"644","received in good condition can do simple exercises but can‚t do jumpingvigorous exercises with it "
"645","item as described "
"646",""
"647","well padded   have yet to try its durability"
"648","waited for  weeks before it arrived the quality is ok seller can be more responsive"
"649","received in good order "
"650","l size fits well for a cm tall kg frame shipping time quite ok"
"651","received in good time and good order have not yet tried it but the colour and materials look nice "
"652","fast delivery  item received in good condition"
"653","item received haven wear yet but the bra is very comfortable feel when u hand touch ty seller"
"654","good value for money at first i was worried that it would not fit but the bras are stretchy it is a comfortable fit for an cm chest delivery time was reasonable"
"655","receive only  pc but the seller has very quick to response and friendlythank u "
"656","roller received in good condition however an item is missing seller did refund‚"
"657","received in good condition items are sturdy liked the hardness of the roll hopefully it does magic to my aching muscle cheers"
"658","came in a nice packaging and nice color as well can‚t wait to try it out‚"
"659","feels very firm  didnt expect the carry bag so it is a nice surprise  thanks"
"660","well received fast delivery despite cb period"
"661","one of the product colour is wrong"
"662","good purchase and tried it out quite comfortable "
"663","i love it"
"664","item is ok very well padded but i am not used to padded shorts yet "
"665","took ard  weeks to deliver fit nicely cushion not bad "
"666","not bad quality and material wise look outstanding have not try yet but look good"
"667","good"
"668",""
"669","received the item in good condition good quality but abit bigger should have bought size smaller"
"670","great and value for money "
"671","delivery time was considered quick for oversea seller nice material medium fit my waist inch"
"672","i receive my item thanks"
"673","good "
"674","good‚"
"675","foam roller was promptly delivered seem sturdy and wellmade definitely worth it for its price and quality "
"676","fast delivery item received in good condition"
"677","very fast delivery quality looks and feels good as well will definitely recommend to someone who is lolking for a foam roller"
"678","item description misleading advertise as  x   but item is actually  x  "
"679","item came in good condition and is super pretty  delivery was fast too "
"680","received it awhile back but have yet to try looks a little smaller than expected but quality looks great‚"
"681","really love it alot"
"682","as just shown in the picture came with a cute pink bag and a few workout tips too  tried all and   just as i wanted  now i don‚t have to go to the gym frequently as i can workout at home now love the product and recommend to those who have less time to go to the gym "
"683","delivery took awhile other than that great to use for workout grip is good it even came with guide on how to use and the different exercises that could be done"
"684","i received it in about  days so that was nice wholesome product that comes with a pamphlet with exercises u can try doing"
"685","love this will definitely order more good quality fir the price "
"686","fast delivery product is soft and fits nicely am happy with the purchase will buy again in future "
"687","fast delivery good quality material and its stretchable worth the purchase "
"688","good steal fast delivery and value for money highly recommend"
"689","fit well "
"690","product seems good when it arrived after some feel the protection seems like sponge instead of silicon gel leh alemak "
"691","item is the same as picture standard delivery came  week later which is on time happy with the item and cannot wait to try soon"
"692","received well its well made and the padding looks like it will last buttried it once and it doesnt stay firm on the thighs keeps rolling up and you have to fix it every little bit which is annoying and not looking good in public two stars because of the padding only"
"693","good quality as described comfy "
"694","ok not bad cheap fit with my size but havent really try yet"
"695","recieved the item i ordered xl but   look like medium though but the item is nice so   fine thanks seller"
"696","good price for decent pieces of sports bra thank you seller "
"697","fast delivery item received in good condition have yet to tried but bought one previously in beige l a little loose on the bust hence getting one size smaller "
"698","item received bought  colour good quality and very worth it "
"699","worth it good price good material and comfortable hope its durable and last long"
"700","ok for the price delivery was quick think the bra padding is not as good "
"701","fast delivery fits well"
"702","pruchased on  may delivered on  jun tested it comfortable and spongy good for those who dont want to expose the thights while wearing sport shorts but not too sure should wear with label facing inwards or outwards it gets a bit warm for longer distance overall satisfied"
"703","very comfortable "
"704","good quality"
"705","not bad with price paid"
"706","received in good condition item as indicated in pic yet to try  "
"707","received the plastic was opened and looked like someone opened it before it was delivered all squeeze inside small black plastic and made a hole on it to make it like a plastic bag refer to photo as i received like that anyways all ordered was complete only disappointed with how it was delivered"
"708","really cute and the quality is great super worth it for the price"
"709","ordered on  and arrived on  rather fast delivery really confortable material soft and stretchable however the cup feel and look a bit weird not so flattering to wear on its own cup is too obvious and not really push up but good for the price longer too than normal sports bra"
"710","received in good condition thank you seller for the fast delivery"
"711","just received n materials is soft n comfyi like it"
"712","received in good condition thank you seller nice quality"
"713","received in good condition and great quality delivery was fast "
"714","nd purchased comfortable "
"715","it was really made of good quality it fits me perfectly but do take note that you have to actually buy  size bigger than your actual size  will definitely buy again"
"716","love it thanks"
"717","just received the items "
"718","delivery was pretty fast thank you so much seller love it "
"719","order  with sm size and one l size but received same size   "
"720","nice colour and design like it very much hopefully got more size in future will purchase again "
"721","quility is soso"
"722","love these bought  of them been wearing them everyday love "
"723","received in good condition comfortable and good that there are adjustable straps"
"724","good quality very comfortable"
"725","fast delivery‚"
"726","wine bottle for size comparison  will repurchase feels like those we use in studios or gyms very sturdy and quick delivery‚"
"727","rlly solid foam roller my muscles felt better aft rolling will recommend‚"
"728","none"
"729","received great thankssssssssssssssssssssssssssssssss"
"730","fast delivery and pretty satisfied with the quality of the product "
"731","very prompt delivery received in good condition "
"732","item recieved within  days chose ninja van to deliver and it was really gr the foam roller is really good in quality robust and intact if i went to a retail store this would cost twice the price at least really gr purchase  recommend"
"733","item delivered as described  fast delivery too  recommended "
"734","i like that the product came with a plastic wrap however i find the product not effective enough in massaging my back in my opinion like it massages a bit but not deep enough in my muscles "
"735","came nicely packed and quality looks good yet to try "
"736","thanks"
"737","fitted nicely"
"738","nice item  "
"739","took  days to reach my letterbox  quality looks good but should have got one size larger  looks like sports pants inner lining "
"740","the short was delivered faster then expected is as shown in the ad posting the size is slightly on the small side but overall is ok will have to see how long the material last"
"741","bought  diff sizes because i fall in between wore the lxl fits ok but the bottom part keeps rolling up so might be a little loose for my sizing thing sm will be a good fit went for a run with this and it stays put well recommended"
"742","good materials and soft buying some for my friends thank you "
"743","not bad for the price its not too thin or loose with adjustable straps "
"744","bought this many many times but   like it got a bit shorter than when i bought it last time "
"745","received in good condition "
"746","very comfortable the quality of the material is really good i will definitely purchase more of this"
"747","came as shown pushup doesnt really do much ngl but overall satisfied didnt expect the material to not feel cheap d"
"748","very good material fit me well definitely will come back "
"749","really like the product the strap is adjustable and product design is really nice"
"750","delivery took awhile due to circuit breaker but overall very satisfied with my purchase  the bands seem sturdy and even came with some exercise instructions"
"751","bands have a weird rubbery smell to it material feels very thin and the heaviest band doesn‚t feel very impactful‚ but overall not bad for the price"
"752","delivery takes super long but the quantity looks good and the color is nice "
"753","delivery was slow but items are well received "
"754","product is true to what was described can‚t wait to use it‚"
"755","took  weeks to arrive prob due to circuit breaker period but quality is not bad comes with a small bag to store the bands"
"756","material good bought  sizing will reorder"
"757","the product is good quality as per picture delivery is on time as well"
"758","xl suits me cm w  comfortable "
"759","order well received but kind of long nevertheless it quite comfortable to wear for cycling "
"760","not exactly that comfortable for female didn‚t know it is meant for man as it was not stated in seller‚s description here saw some female buyers review thats why i decided to take it in good faith for normal riding female should not order this model it feels weird "
"761","ordered on  may and received on  may item is the same as in picture working as advertised mesh cloth and comfy to use highly recommended "
"762","items well packed and arrived quite on time about  daysvery satisfied with the material  very comfortable to wear and i recommend hand wash so you won‚t overstretch and cause looseness of the whole support very matching with yoga sports pants or you can even match with jacket and jeans or pan"
"763","items is very nice satisfied   but im a quite disappointed with wrong sizes that the seller send  its my rd time purchased ‚Ô"
"764","wow this items i order last week and the shoppe said will deliver about  weeks but come early and im happy i can wear already "
"765","ordered on  received on  bra padding is very weird when worn material quality is ok but a little disappointed with the bra padding "
"766","material is soft "
"767","super comfy very affordable will buy other colors only bought  colors size is just nice for a l size wearer "
"768","item is good took  weeks only to reach me thank you‚"
"769","order received much early as the promise date "
"770","material difficult to dry hope theres bigger size anyways thank you"
"771","received items as ordered  this order is for the  higher grade feel is much better than the lower gradeprice  like it and will recommend to my friends thanks"
"772","awesome product and fast shipping"
"773","helpful seller delivery took week plus "
"774","items came as described ‚ it was comfortable to wear and provided enough padding "
"775","relieved bum pain for long distance ride fairly good n price right "
"776","super fast delivery material looks great yet to use it will look forward order more from em"
"777","recieve in good condition  not yet try thanks seller "
"778","received in good condition thanks"
"779","second purchase fast delivery highly recommended"
"780","they‚re so cute but not much support would change the inserts"
"781","very feel comfortable when i wear it will buy more in future "
"782","good quality ill buy again for sure  "
"783","very gd quality bras and they are gorgeous no regrets thank you "
"784","quite thin and low support but ok"
"785","seller was fast in replying to query and delivery was fast   thank you seller will buy again "
"786","the item is sturdy   firm cheap fast delivery "
"787","product received in good condition will buy again"
"788","good same as described "
"789","grid foam rollers  are the lightest among the foam rollers listed here personally i use it for recovery of sore muscles such as after a ultra marathon run the flat surface maintains a larger surface contact and promotes blood flow by a to and fro rolling action"
"790","there is dirt and black stains on it  but overall not bad "
"791","delivery was quick and the quality is good considering the price"
"792","item recieved as stated really love it thank you v much "
"793","wanted to buy the spike but decided to go for less strenuous i believe i made the right choice  well protected during delivery"
"794","thick and comfy good product will buy more"
"795","item received in good condition good quality "
"796","very comfortable and serves it purpose"
"797","this is my second purchase quite effective"
"798","looks good quick delivery by seller"
"799","look good for the price "
"800","thanks for your reasonably quick delivery good packaging hope to try them out soon"
"801","item is worth the price delivery less than a week receive in good condition"
"802","not so strechy on the hip the pad is good "
"803","am happy with the product and would recommend to the rest of my team"
"804","received this it fits well according to the dimension provided yet to try it on a ride"
"805","works well for my long ride  km the gel and absorption really helps compared to me not wearing it‚"
"806","received in good condition and super fast delivery  thanks‚"
"807","bought  pieces of the pants  very comfortable good  thank you "
"808","nice and comfy material apparel is well packaged too recommended to cycling enthusiasts "
"809","took  weeks to arrive ordered on  and received  ‚product as per advertised kind seller has apologised for the delay due to covid situation‚"
"810","looks exactly as shown and works very well sturdy and the spikes are just the right toughness and length "
"811","awesome fast delivery and have different types of rollers to chose"
"812","thank you seller for your prompt delivery will buy again highly recommended"
"813","received in  days using ninja van the grid roller is good for those who are new to using this good quality  very hard and firm worth it for the price paid‚"
"814","really good roller very tough and durable material pretty satisfied with the price given thanks"
"815","received items in good condition thank you"
"816","good quality and packaging worth buying again delivery time still ok‚"
"817","good quality "
"818","received in good condition nice color‚ gooooooooooooood‚"
"819","fast delivery within a week no rubber smell like some says in the review smells branded high quality and am very happy with my purchase and highly recommended works very well for my workouts exactly as described more to women useage only "
"820","item look great yet to try "
"821","even though now is circuit breaker conditions delivery is still fast "
"822","item is received as it describes highly recommend to get from this seller"
"823","material is average‚"
"824","its comfortable to wear give me some cushioning for my bike ride "
"825","i test on it i feels good opsand i use it right away haha looking forward to for an order again   thank you for speed up the delivery it was fast "
"826","love the colours thankfully all purchases came through and   very nice and soft not suitable for exercise but comfy to wear "
"827","pretty stretchable but not as stretchable as i thought it would be ordered  different sizes but delivered seems like its free size instead theres no indication of sizes and both sm or lxl measures equally when put together overall not bad just feel abit disappointed bout the sizes"
"828","fast delivery thank you seller item as per described"
"829","good quality"
"830","receive in good condition im a uk ab cup fits nicely thankss"
"831","material is comfortable and padding is thick affordable "
"832","quality is good fits perfectly highly recommended will buy again "
"833","fast delivery and received in good packaging "
"834","looking good   thanks "
"835","good stiching well thick padding for long cycling rides mesh fabric keeps skin cool "
"836","great riding underwear comfy and supports well plan to order  more"
"837","im  tall weight kg waistline   i choose m size its big for m not tight fitted   not sure is small size be better fit"
"838","item was delivered as described and delivery was prompt despite this tough period looking forward to relieve back muscle pain after exercising‚"
"839","received product as described and delivery was fast it felt good in relieving the muscle tension after exercising‚"
"840","delivery came in less than a week item was exactly as described tho there were creases on the sides must be from the plastic packaging"
"841","great quality product"
"842","fast delivery even in cb very good quality happy with the purchase "
"843","received the item with good condition and the delivery is fast thanks‚"
"844","material is good  "
"845","item received today can feel the softness not yet try anyway thank you seller  "
"846","i love it and very comfortable material was soft i order more "
"847","received in good condition thank you "
"848","fast delivery good quality gel padding is thick and very soft very comfortable cushion good for longer ride"
"849","the padding look solid and soft"
"850","received hubby is happy"
"851","received ordered a size larger  flash sales may have to try and see"
"852","comes in this cute ziplock bag padding isn‚t amazing but overall still good for at home use comfy and nice material "
"853","so many times i purchased this items value of money satisfied customers here‚∫Ô thanks seller"
"854","buy  pcs hope can fit to my body very fast delivery next will order again"
"855","well received thank you seller for the great deal quality looks great thank you so much "
"856","very good  items very satisfied price is cheaper than other sellers"
"857","thank you seller"
"858","good quality "
"859","delivery took  week quite fast however i feel that the padding of this bra is too weak should use your own padding especially if you have bigger boobs i got lxl and im usually a large m size better size up "
"860","good quality shown as picture quality very good  bought for my daughter she loves so much "
"861","recieved yesterday and it fits me"
"862","received the items today  the quality is good and it has nice fitting "
"863","bought three the colours all correspond to the web images its a good stretchy material that is not too thick so it feels very nice when you wear it to work out the only downside is that the removable cups have a weird shape"
"864","received them within a week and the material is really good it was well made and had really good padding highly recommended was a bit small for large chested though"
"865","good quality  so comfortable to wear  i‚m cm  kg fit very well for me "
"866","recieved for the price worth it some white stains in it but  i think can wash off "
"867","size is correct material quite comfortable with this price no complain nice to wear at home "
"868","quality is damn good and worth for the price thanks seller "
"869","yet to try it on but it looks comfortable not super thickgood quality but good enough for me "
"870","received "
"871",""
"872","received in good condition"
"873","item received in good conditionthank you"
"874","condition looks okay the gel pads are sewn in the inner part not the outer not tested yet"
"875","great quality and comfortable"
"876","got the item good  second time buying  will support again  thank you "
"877","just nice size"
"878","good quality pads are really spongy and comfortable "
"879","sizing close to chart comfortable material hope the gel part will last and durable against fictions"
"880","ok worth for the money paid havent used yet to see the quality"
"881","good quality product and fast delivery the padding is great comfort while cycling "
"882","consider a nice quality within this pricing will share to my friends "
"883","good qualityi ordered same sizes but it came out different sizescant wear one of those"
"884","i likes the material and color nice"
"885","received on th day super fast  material bit thick love the adjustable strap  thing to note i washed both black  beige bra tgt n u can see the colour stained on beige bra but is due to my own neglience so will order again cos is comforble to wear "
"886","good quality and cheap price  but cannot fit to xl i order lxl but size is more on m frame only"
"887","i love it good qualitygood price and good service delivery all the best seller thank you"
"888","i find it ok for me delivery guy as usual jt express always the best and responsible service no doubt about itjob well done keep it up "
"889","quality is so nice i love it it fits me perfectly will order again"
"890","fits perfectly  the colour is darker than the one showed in the picture  "
"891","tried it on  it fits me so well love it the support is amazing  the quality seems very well put considering the price defo will purchase more in the future "
"892","item received in good condition soft and stretchy materials true to colors good buy "
"893","good condition and fast delivery thank you seller"
"894","my second purchase i bought all the colours coz im quite satisfied with the product  fit well on me and i use it for daily wear too instead of wearing bra  theyre more comfy for me really worth it with the price thank you so much"
"895","good quality  worth for the price definitely will purchase from this seller again "
"896","the material is very comfortable and the size is just right for me "
"897","received in good condition for most of it but take note different color may be different size"
"898","came in about a week from ordering fit is okay just that the cup size in too big for a size s "
"899"," nd time order "
"900","my second time purchasing it it is so comfy"
"901","nice "
"902","received it am wearing it now   quite comfortable but not recommended support as a sports bra for vigorous exercise if you‚re just doing strengthresistance exercise   fine  oh ya but if u have ‚love handles‚ the rubber below may roll up haha but   really very cheap no complaints  "
"903","i really like this product super nice and comfortable very fast deliveries "
"904","item says size lxl but looks like xs no size indication on the clothing but able to fit because material is soft and stretchable and looks like a free size yoga bra bra sponge will move around"
"905","i‚m a c and got size sm and   a bit loose at the back the material is soft but quite thin not suitable for high impact sports or running more suitable for walking or casual wear the colour is also a bit odd irl "
"906","material rides up once in awhile other than that   fairly ok"
"907","fast delivery item as picture "
"908","repeated purchase i like the material and fit"
"909","received in gd condition  "
"910","repeated order gd material  "
"911","products come in good condition materials suitable for price"
"912","item was delivered pretty fast and in good condition thanks"
"913","item in good condition and good fit"
"914","delivery was faster than expected padding is good cos its thick but size is smaller than expected ordered m but looks like its an s next time will order one size up "
"915","good quality  fast delivery "
"916","great item visually havent try "
"917","slow delivery and shopee sucks as a platform"
"918","  uncomfortable rode with it for  hours today and it was just unpleasant it padded the butt area but the tights material isnt good"
"919","looks good hope it fits n lasts well"
"920","prompt delivery item well received and as advertised look forward to next order "
"921","good quality and value for money "
"922","great product fits really well affordable price and item came as how it was in picture "
"923","received in good order feels good but too small for me"
"924","good quality and packaging accidentally bought the wrong size usually these products are  size smaller than normal didnt expect xxl to be huge "
"925","see picture disparity in sizes beware when purchase white color bra rest of color is ok seller said size info upload is mistake only apologise smaller chest will find it loose "
"926","nice i like itwill order morequality is goodsame as  shown in picturefast deliverythnks seller"
"927","very comfortable and secure padding is very soft and nice too adjustable strap will buy again "
"928","like the material yet to try on but guess should be comfortable ‚"
"929","very good buy cheap fast and comfortable will get more colours"
"930","a little tight "
"931","item as per description "
"932","looks good‚"
"933","these cycling bib underpants are of very high quality it is made of light and durable materials that provide cooling when you put them on the sponge are firm to absorb the vibration and shocks there are many gel sponge sewn on these underpants but not thick or uncomfortable‚"
"934","as advertised considerably fast even during this lockdown period satisfied"
"935","looks about right yet to try yet fast shipping and decent"
"936","delivery time was reasonably good well packaged ive tried the item satisfied i hope to see those cool gel types at a cheaper pricing recommended thank you"
"937","nice‚"
"938","shipping was fast considering the coronavirus situation looks like photos hope it works well bought for bicycle riding‚"
"939","comfortable and size just right value for money "
"940","good packaging will try it out soon as i bought the longer version as well"
"941","quite fast deliver less than a week look look with the price yet to try it for a ride but worth the trybuy‚"
"942","item was packed nicely great material thou have yet to try "
"943","super nice material didnt expect much because its soooo cheap sm fits well for a b might be slighty tight but its a sports bra and it supports well will repeat purchase"
"944","the material is somehow thin the padding inside the cloth is quite small worth the price you paid"
"945","very comfy and value for money  definitely a great buy and would loved to repeat order from seller again  "
"946","will buy again "
"947","liked it so muchgood qualityexactly like a pics"
"948","the product has arrivedgood quality thank you"
"949","very comfortable"
"950","nice"
"951","very good deal items are exact to picture and of good quality "
"952","items arrived in good order good quality and good value size is exactly as described in table will try them out and probably order more"
"953","good quality highly recommended"
"954","great as described‚"
"955","received my foam rollers the rounded rumble one is really good "
"956","item as described good value for money solid material worth it"
"957","worth it comfortable and pretty  the clothes are put in a zip beg "
"958","fast delivery item received in good condition love it so much "
"959"," very nice i like it now i buy again more thank you for selling "
"960","delivery took about a week quality is soft good for workout and homewear worth the price "
"961","bra padding has a weird shape feel uncomfortable but i can take it out so its okay but other than that they do have adjustable straps which are great"
"962","my nd purchase i super like it comfy for jogging and even for normal wear"
"963","love it my second purchase got all the colours now hehe "
"964","repurchased it fast delivery really satisfied will buy again "
"965","its okay quality is okay‚"
"966","fast delivery good to use and worth during sales"
"967","happy with purchase fast delivery thank you ‚"
"968","ordered  july received  july‚ fast delivery well packaged‚"
"969","arrived within  days rumble round on the left pretty good and solid so i buy  types using the coupon  good deal"
"970","feels sturdy and quality seems not bad delivery super fast received in  days"
"971","very fast delivery ordered on  and arrived the next day it was a little too hard there expected but material looks goodm"
"972","very good quality structurally solid and well built able to take my full weight without budging "
"973","there is a crack on the product but it doesnt affect the use of it so i guess its fine"
"974","received in good condition tested it out all good‚ "
"975","great and quality product and fast delivery highly recommended"
"976","delivery was super fast really firm roller works well "
"977","very satisfied with the buy delivery was prompt and product is really good for rolling out muscle knots"
"978","sexy bra so nice  "
"979","black given wrong size gray size ok"
"980","came in good condition however the bra padding was rather hard other than that its not bad"
"981","in good quality thick enough i will buy it again"
"982","received before expected date quality seem good worth buying in such price"
"983","feels good wearing comfortable   the right size for me although paddings r not fixed it has to be adjusted generally value for money"
"984","item receive in good condition "
"985","good condition happy with it"
"986","nice product worth a try will consider to buy other types xd"
"987","prompt delivery received in good condition "
"988","good and fast spree happy with my purchase"
"989","well received "
"990","item came fast and looks promising yet to try but a friend recommended and   good he said so gonna give it a try soon "
"991","good material "
"992","received in good condition feels cheap because   cheap can‚t complain haven‚t try yet will update if useless no update is good "
"993","take quite a while to received nicely wrap and protect have not try out yet hope its well cushion and supported"
"994","quite comfy"
"995","item came as described took some time to reach thank you"
"996","received in gd condition "
"997","padding is quite thin but material is soft and comfy would be better for home use "
"998","quality is good its fit well "
"999","good material"
"1000","hopefully the pads will improve by providing smaller version and thicker ones i like the color and the fit to my body "
"1001","received in good condition both are very soft but there is variation in size even though both are the same size sm the black one was about cm bigger "
"1002","fast delivery the quality is better than i expected recommended"
"1003","received item in good condition the delivery takes a few days only the bra is really super comfy very worth the price  "
"1004","nice material i just love it so much and its really worth for the price thank you "
"1005","material is good  comfortable to wearing it"
"1006","very gd value for the price delivery was so fast am very satisfied with foam roller"
"1007","purple rumble roller received in good condition great for rolling the glutes and calves"
"1008","very fast delivery and well packed‚"
"1009","colour of foam roller is pretty arrived in good condition the round rumble really hurts and can get into deep pressure points will take awhile to get used to it "
"1010","came in good condition really good to use as it helped stretched my right muscles‚"
"1011","gotta admit the padding is weird but u can take it out n cut it whatsoever other than that altho support is not that good cos the straps are thin it still can hold and do what a bras shld do "
"1012","thin material  not much elasticity lose but comfortable inner foam is bummpy looks and feel "
"1013","fast delivery n received item in good condition n quite good for the price"
"1014","happy with my purchaseactually this is the second purchase i made"
"1015","not bad for the price "
"1016","looks exact to photo and given the price it is worth the money "
"1017","cutting  material are all v nice bra cups are a little weird though makes my boobs look a little out of shape from the side "
"1018","quality not bad for price paid  "
"1019","so far so good "
"1020","thanks seller"
"1021","loving it "
"1022","item is amazing as described sizing perfect too will definitely recommend to my friends and also probably buy a few more for myself too  "
"1023","delivery took days products looks ok will order again in future"
"1024","received quality is good size is correct"
"1025","well received  good packing and happy with the product"
"1026","item is as advertised very comfortable and worth the purchase "
"1027","size is a accurate and material is good"
"1028","true to size "
"1029","nice"
"1030","received it but there was no size indication on the top so i don‚t know if the measurements were as accurate as what was indicated on listing "
"1031","came exactly as photo worth the money"
"1032","received item within a week of ordering wasn‚t expecting much but was pretty surprised at the quality and comfort of this bra   really comfortable the padding is uniquely shaped and may not be to everybody‚s liking there is very little support but can still be used for yogahome wear "
"1033","received  pretty colour the size abit small but i still can wear thank you "
"1034","ur call is not bad bro but you can come over here for a little bit i will‚"
"1035","good delivery services  products are good too hope it works out for me"
"1036","i have been buying my foam rollers from them for awhile now and everything is still intact and working fine"
"1037","good quality and came rly rly rly fast in a few days  very satisfied "
"1038","good n fast delivery"
"1039","nice size for home use fast delivery as it is stocked locally "
"1040","good replacement quick delivery and seller handled problem well "
"1041","order well received good quality for the money recommended"
"1042","fast delivery whole family have been using it happy with the product‚"
"1043","item received in superb condition it is very big item was delivered quickly too for its price and size very highly recommend to everyone"
"1044","the roller received is well designed rigid and light in weight the item also arrived in good packaging and in good condition keep up the good work "
"1045","the delivery was very fast it only took two days to arrivethe product is good but tur foam might he a bit hard"
"1046","delivery time was ok quality of material is not bad very elastic and its cheap "
"1047","i had order many time from this shop there is always wrong delivery in size as in the photo you can see there is a different in size which i had order pic xl but why there is different in size seller is very irresponsible font recommend "
"1048","good condition and fast delivery thank you"
"1049","very soft and comfy i love it the straps are adjustable thank you seller"
"1050","well considering   only  it actually exceeded my expectation but do be mindful that   not sport bra materials and shouldn‚t be used for high intensity workout   still a pleasant top though "
"1051","item received in great condition will purchase again thank u "
"1052","good quality worth the purchase"
"1053","padding is too thick and came out of shape otherwise   value for money"
"1054","well received nice colors product fits well "
"1055","delivery was fast and   comfortable as well love it "
"1056","items received in good condition fit me perfectly"
"1057","material feels good  yet to try"
"1058","item received and in good order "
"1059","item received well packed in letterbox"
"1060","received good packing i like the quality"
"1061","very comfortable and super affordable  great price for great comfort and look "
"1062","not exact as the pictures shown however worth the price   the green one color quite different from the picture shown  quality still ok with the price given"
"1063","bad quality the padding was very off bad material not much support"
"1064","good quality bra material is soft and stretchable and items came on time and fast would highly recommend for light activities "
"1065","super good quality bra sponge‚s quality also extremely good ‚Ô‚Ô‚Ô "
"1066","it is not gel more like foam padding also the crouch area has so little foam protection "
"1067","item in good condition and material is gd n lite"
"1068","good deal  value for money  fast delivery  smooth transactions  good quality  safely wrap "
"1069","pant looks good  this is comfortable  good purchase  i bought the other  designs hope they are comfy too    "
"1070","worth for very comfortable to wearwill order again"
"1071","worth buying material are comfortable not too thin"
"1072","received my order very fast delivery thanks seller "
"1073","received in good condition and delivery was punctual im usually a size b and this fits me nicely and its so comfortable "
"1074","received items were delivered just a day after ordering that was a quick one true to picture and does its job worth the price thank you "
"1075","fast delivery good quality will buy again recommended"
"1076","fast delivery product item received in good condition thank you‚"
"1077","delivery by ninja van good quality"
"1078","very fast delivery came in  days second time purchasing and very happy with it "
"1079","items arrived very quickly and as described reliable and trusted seller good buy thanks very much"
"1080","item nicely packed and works well"
